"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"1",1,0.88833399207581,0.77726292197978,0.0252464676523665,0.050337137925586
"2",2,0.914324371222273,0.828945807777173,0.033630947025734,0.0670643121842492
"3",3,0.980141131558906,0.960286213851974,0.00816595642172289,0.0163276074939829
"4",4,0.990405913900752,0.980811516803632,0.00736168469689176,0.0147215580503023
"5",5,0.992470155752428,0.984939608066263,0.0067808261433901,0.0135619704527612
"6",6,0.991095569073165,0.982189450179939,0.0064765685810014,0.0129543634242509
"7",7,0.990405913900752,0.980813782803848,0.00736168469689176,0.0147178594238648
"8",8,0.993145704195708,0.986291179189499,0.00645821915589237,0.0129165035727454
"9",9,0.993141044797702,0.986281293762383,0.00560575568631865,0.0112120892353704
"10",10,0.994520355142529,0.989040307903338,0.0054032742709984,0.0108055835117343
"11",11,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"12",12,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"13",13,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"14",14,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"15",15,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"16",16,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"17",17,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"18",18,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"19",19,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"20",20,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"21",21,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"22",22,0.994529802473658,0.989056750604745,0.00431237694931605,0.008625122268456
"23",23,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"24",24,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"25",25,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"26",26,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"27",27,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"28",28,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"29",29,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
"30",30,0.995214733980508,0.990428157706004,0.00460312863011317,0.00920630392617639
